gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.051811,-0.022223,0.017484
0.083911,0.039593,0.013198
-0.013319,0.059291,0.010070
0.051407,0.030160,0.017377
-0.006359,0.002047,-0.030729
0.031599,0.082615,0.034340
-0.020835,-0.071693,0.047172
0.040118,-0.011685,0.033935
-0.018638,0.014049,0.032246
0.035469,-0.036482,0.006383
0.038483,0.012508,0.044126
0.042283,0.065246,-0.038027
0.067476,0.067417,-0.006018
-0.003182,-0.000092,-0.011645
-0.060661,0.044857,0.011740
0.033055,0.020210,-0.018997
0.018517,-0.087883,0.033387
0.024218,-0.022625,0.030759
0.032226,-0.018231,-0.014499
0.002986,0.015787,0.022234
0.023476,0.040545,-0.055159
-0.051522,0.003147,-0.004916
0.006314,-0.006072,0.003198
-0.022274,0.119859,0.060657
0.047701,0.065335,-0.027094
0.101817,0.078100,0.001464
0.063787,0.031627,-0.015129
0.016192,-0.028084,0.092982
0.029558,0.001356,0.066042
0.058494,-0.006490,0.072091
0.046905,-0.011019,0.044608
0.026019,0.037481,0.095993
0.044194,0.031614,0.002435
