ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.004210,0.065548,0.024891
0.004188,0.065203,0.024760
0.004165,0.064861,0.024630
0.004143,0.064521,0.024501
0.004121,0.064182,0.024372
0.004099,0.063845,0.024244
0.004077,0.063510,0.024117
0.004056,0.063177,0.023990
0.004034,0.062845,0.023864
0.004013,0.062515,0.023739
0.003991,0.062187,0.023614
0.003970,0.061861,0.023490
0.003949,0.061536,0.023366
0.003928,0.061213,0.023244
0.003907,0.060892,0.023121
0.003886,0.060572,0.023000
0.003866,0.060254,0.022879
0.003845,0.059938,0.022759
0.003825,0.059623,0.022639
0.003805,0.059310,0.022520
0.003784,0.058999,0.022402
0.003764,0.058689,0.022284
0.003744,0.058381,0.022167
0.003724,0.058075,0.022051
0.003705,0.057770,0.021935
0.003685,0.057467,0.021820
0.003665,0.057165,0.021705
0.003646,0.056865,0.021591
0.003626,0.056567,0.021478
0.003607,0.056270,0.021365
0.003588,0.055974,0.021253
0.003569,0.055681,0.021141
0.003550,0.055388,0.021030
0.003531,0.055098,0.020919
0.003512,0.054808,0.020809
0.003494,0.054521,0.020700
0.003475,0.054235,0.020591
0.003457,0.053950,0.020483
0.003439,0.053667,0.020376
0.003420,0.053385,0.020269
0.003402,0.053105,0.020162
0.003384,0.052826,0.020056
0.003366,0.052549,0.019951
0.003348,0.052273,0.019846
0.003330,0.051999,0.019742
0.003313,0.051726,0.019638
0.003295,0.051454,0.019535
0.003278,0.051184,0.019432
0.003260,0.050915,0.019330
0.003243,0.050648,0.019229
0.003226,0.050382,0.019128
0.003209,0.050118,0.019027
0.003192,0.049855,0.018927
0.003175,0.049593,0.018828
0.003158,0.049333,0.018729
0.003141,0.049074,0.018630
0.003125,0.048816,0.018533
0.003108,0.048560,0.018435
0.003092,0.048305,0.018338
0.003075,0.048052,0.018242
0.003059,0.047799,0.018146
0.003043,0.047549,0.018051
0.003027,0.047299,0.017956
0.003011,0.047051,0.017862
0.002995,0.046804,0.017768
0.002979,0.046558,0.017675
0.002963,0.046314,0.017582
0.002947,0.046071,0.017489
0.002932,0.045829,0.017398
0.002916,0.045588,0.017306
0.002901,0.045349,0.017215
0.002885,0.045111,0.017125
0.002870,0.044874,0.017035
0.002855,0.044639,0.016945
0.002840,0.044404,0.016856
0.002825,0.044171,0.016768
0.002810,0.043939,0.016680
0.002795,0.043709,0.016592
0.002780,0.043479,0.016505
0.002765,0.043251,0.016418
0.002751,0.043024,0.016332
0.002736,0.042798,0.016246
0.002722,0.042573,0.016161
0.002707,0.042350,0.016076
0.002693,0.042128,0.015992
0.002679,0.041907,0.015908
0.002664,0.041687,0.015824
0.002650,0.041468,0.015741
0.002636,0.041250,0.015658
0.002622,0.041034,0.015576
0.002608,0.040818,0.015494
0.002595,0.040604,0.015413
0.002581,0.040391,0.015332
0.002567,0.040179,0.015251
0.002554,0.039968,0.015171
0.002540,0.039758,0.015092
0.002527,0.039549,0.015012
0.002513,0.039342,0.014933
0.002500,0.039135,0.014855
0.002487,0.038930,0.014777
0.002474,0.038726,0.014699
0.002461,0.038522,0.014622
0.002447,0.038320,0.014545
0.002435,0.038119,0.014469
0.002422,0.037919,0.014393
0.002409,0.037720,0.014317
0.002396,0.037522,0.014242
0.002383,0.037325,0.014167
0.002371,0.037129,0.014093
0.002358,0.036934,0.014019
0.002346,0.036740,0.013945
0.002333,0.036547,0.013872
0.002321,0.036356,0.013799
0.002309,0.036165,0.013727
0.002297,0.035975,0.013655
0.002284,0.035786,0.013583
0.002272,0.035598,0.013512
0.002260,0.035411,0.013441
0.002248,0.035225,0.013370
0.002237,0.035041,0.013300
0.002225,0.034857,0.013230
0.002213,0.034674,0.013160
