ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.774146,1.701025,-10.807671
6378137.775271,1.703855,-10.825915
6378137.776395,1.706684,-10.844159
6378137.777520,1.709514,-10.862403
6378137.778645,1.712344,-10.880647
6378137.779770,1.715174,-10.898890
6378137.780895,1.718004,-10.917134
6378137.782019,1.720834,-10.935378
6378137.783144,1.723665,-10.953622
6378137.784269,1.726495,-10.971865
6378137.785394,1.729326,-10.990109
6378137.786518,1.732157,-11.008353
6378137.787643,1.734988,-11.026597
6378137.788768,1.737820,-11.044840
6378137.789892,1.740651,-11.063084
6378137.791017,1.743483,-11.081327
6378137.792142,1.746314,-11.099571
6378137.793266,1.749146,-11.117815
6378137.794391,1.751978,-11.136058
6378137.795515,1.754811,-11.154302
6378137.796640,1.757643,-11.172545
6378137.797764,1.760476,-11.190789
6378137.798889,1.763308,-11.209032
6378137.800013,1.766141,-11.227275
6378137.801138,1.768974,-11.245519
6378137.802262,1.771807,-11.263762
6378137.803387,1.774640,-11.282006
6378137.804511,1.777474,-11.300249
6378137.805636,1.780307,-11.318492
6378137.806760,1.783141,-11.336735
6378137.807885,1.785975,-11.354979
6378137.809009,1.788809,-11.373222
6378137.810133,1.791643,-11.391465
6378137.811258,1.794477,-11.409708
6378137.812382,1.797311,-11.427952
6378137.813506,1.800146,-11.446195
6378137.814631,1.802981,-11.464438
6378137.815755,1.805815,-11.482681
6378137.816879,1.808650,-11.500924
6378137.818004,1.811486,-11.519167
6378137.819128,1.814321,-11.537410
6378137.820252,1.817156,-11.555653
6378137.821376,1.819992,-11.573896
6378137.822500,1.822827,-11.592139
6378137.823625,1.825663,-11.610382
6378137.824749,1.828499,-11.628625
6378137.825873,1.831335,-11.646868
6378137.826997,1.834171,-11.665111
6378137.828121,1.837007,-11.683354
6378137.829246,1.839844,-11.701597
6378137.830370,1.842680,-11.719840
6378137.831494,1.845517,-11.738083
6378137.832618,1.848354,-11.756325
6378137.833742,1.851191,-11.774568
6378137.834866,1.854028,-11.792811
6378137.835990,1.856865,-11.811054
6378137.837114,1.859702,-11.829297
6378137.838238,1.862540,-11.847539
6378137.839362,1.865377,-11.865782
6378137.840486,1.868215,-11.884025
6378137.841610,1.871053,-11.902267
6378137.842734,1.873890,-11.920510
6378137.843858,1.876729,-11.938753
6378137.844982,1.879567,-11.956995
6378137.846106,1.882405,-11.975238
6378137.847230,1.885243,-11.993481
6378137.848354,1.888082,-12.011723
6378137.849478,1.890920,-12.029966
6378137.850602,1.893759,-12.048208
6378137.851726,1.896598,-12.066451
6378137.852850,1.899437,-12.084693
6378137.853973,1.902276,-12.102936
6378137.855097,1.905115,-12.121178
6378137.856221,1.907955,-12.139421
6378137.857345,1.910794,-12.157663
