ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.589052,0.007551,3.299746
1.589184,0.007552,3.300021
1.589316,0.007552,3.300294
1.589447,0.007553,3.300566
1.589577,0.007553,3.300837
1.589707,0.007554,3.301106
1.589836,0.007555,3.301374
1.589964,0.007555,3.301640
1.590092,0.007556,3.301905
1.590219,0.007556,3.302169
1.590345,0.007557,3.302431
1.590470,0.007558,3.302692
1.590595,0.007558,3.302951
1.590720,0.007559,3.303209
1.590843,0.007559,3.303466
1.590966,0.007560,3.303721
1.591089,0.007561,3.303975
1.591210,0.007561,3.304228
1.591331,0.007562,3.304479
1.591452,0.007562,3.304729
1.591571,0.007563,3.304978
1.591691,0.007563,3.305226
1.591809,0.007564,3.305472
1.591927,0.007565,3.305716
1.592044,0.007565,3.305960
1.592161,0.007566,3.306202
1.592277,0.007566,3.306443
1.592393,0.007567,3.306683
1.592507,0.007567,3.306921
1.592622,0.007568,3.307159
1.592735,0.007568,3.307395
1.592848,0.007569,3.307629
1.592961,0.007569,3.307863
1.593073,0.007570,3.308095
1.593184,0.007571,3.308326
1.593295,0.007571,3.308556
1.593405,0.007572,3.308785
1.593514,0.007572,3.309012
1.593623,0.007573,3.309238
1.593732,0.007573,3.309463
1.593839,0.007574,3.309687
1.593947,0.007574,3.309910
1.594053,0.007575,3.310132
1.594159,0.007575,3.310352
1.594265,0.007576,3.310571
1.594370,0.007576,3.310789
1.594474,0.007577,3.311006
1.594578,0.007577,3.311222
1.594682,0.007578,3.311437
1.594785,0.007578,3.311650
1.594887,0.007579,3.311863
1.594989,0.007579,3.312074
1.595090,0.007580,3.312284
1.595190,0.007580,3.312493
1.595291,0.007581,3.312701
1.595390,0.007581,3.312908
1.595489,0.007582,3.313114
1.595588,0.007582,3.313318
1.595686,0.007582,3.313522
1.595784,0.007583,3.313725
1.595881,0.007583,3.313926
1.595977,0.007584,3.314127
1.596073,0.007584,3.314326
1.596169,0.007585,3.314524
1.596264,0.007585,3.314722
1.596358,0.007586,3.314918
1.596452,0.007586,3.315113
1.596546,0.007587,3.315307
1.596639,0.007587,3.315501
1.596731,0.007587,3.315693
1.596823,0.007588,3.315884
1.596915,0.007588,3.316074
1.597006,0.007589,3.316263
1.597097,0.007589,3.316452
1.597187,0.007590,3.316639
1.597277,0.007590,3.316825
1.597366,0.007590,3.317010
1.597454,0.007591,3.317194
1.597543,0.007591,3.317378
1.597631,0.007592,3.317560
1.597718,0.007592,3.317741
1.597805,0.007593,3.317922
1.597891,0.007593,3.318101
1.597977,0.007593,3.318280
1.598063,0.007594,3.318457
1.598148,0.007594,3.318634
1.598232,0.007595,3.318810
1.598317,0.007595,3.318985
1.598400,0.007595,3.319159
1.598484,0.007596,3.319332
1.598567,0.007596,3.319504
1.598649,0.007597,3.319675
1.598731,0.007597,3.319845
1.598813,0.007597,3.320014
1.598894,0.007598,3.320183
1.598974,0.007598,3.320351
1.599055,0.007598,3.320517
1.599135,0.007599,3.320683
1.599214,0.007599,3.320848
1.599293,0.007600,3.321012
1.599372,0.007600,3.321175
1.599450,0.007600,3.321338
1.599528,0.007601,3.321499
1.599605,0.007601,3.321660
1.599682,0.007601,3.321820
1.599759,0.007602,3.321979
1.599835,0.007602,3.322137
1.599911,0.007603,3.322295
1.599986,0.007603,3.322451
1.600061,0.007603,3.322607
1.600135,0.007604,3.322762
1.600210,0.007604,3.322916
1.600283,0.007604,3.323069
1.600357,0.007605,3.323221
1.600430,0.007605,3.323373
1.600503,0.007605,3.323524
1.600575,0.007606,3.323674
1.600647,0.007606,3.323823
1.600718,0.007606,3.323972
1.600789,0.007607,3.324120
