ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-0.018037,0.140117,0.094562
-0.017945,0.139382,0.094065
-0.017853,0.138650,0.093570
-0.017761,0.137922,0.093079
-0.017670,0.137198,0.092590
-0.017580,0.136478,0.092103
-0.017489,0.135762,0.091619
-0.017400,0.135049,0.091138
-0.017311,0.134340,0.090659
-0.017222,0.133635,0.090183
-0.017134,0.132933,0.089709
-0.017046,0.132235,0.089238
-0.016958,0.131541,0.088769
-0.016871,0.130851,0.088303
-0.016785,0.130164,0.087839
-0.016699,0.129481,0.087377
-0.016613,0.128801,0.086918
-0.016528,0.128125,0.086462
-0.016443,0.127452,0.086007
-0.016358,0.126783,0.085556
-0.016274,0.126118,0.085106
-0.016191,0.125456,0.084659
-0.016108,0.124797,0.084214
-0.016025,0.124142,0.083772
-0.015943,0.123490,0.083332
-0.015861,0.122842,0.082894
-0.015779,0.122197,0.082459
-0.015698,0.121556,0.082025
-0.015618,0.120918,0.081594
-0.015537,0.120283,0.081166
-0.015457,0.119652,0.080739
-0.015378,0.119024,0.080315
-0.015299,0.118399,0.079893
-0.015220,0.117777,0.079474
-0.015142,0.117159,0.079056
-0.015064,0.116544,0.078641
-0.014987,0.115932,0.078228
-0.014909,0.115324,0.077817
-0.014833,0.114718,0.077408
-0.014756,0.114116,0.077001
-0.014681,0.113517,0.076597
-0.014605,0.112921,0.076194
-0.014530,0.112328,0.075794
-0.014455,0.111739,0.075396
-0.014381,0.111152,0.075000
-0.014307,0.110569,0.074606
-0.014233,0.109988,0.074214
-0.014160,0.109411,0.073824
-0.014087,0.108837,0.073437
-0.014014,0.108265,0.073051
-0.013942,0.107697,0.072667
-0.013870,0.107132,0.072285
-0.013799,0.106569,0.071906
-0.013728,0.106010,0.071528
-0.013657,0.105453,0.071152
-0.013586,0.104900,0.070778
-0.013516,0.104349,0.070407
-0.013447,0.103801,0.070037
-0.013377,0.103257,0.069669
-0.013308,0.102715,0.069303
-0.013240,0.102175,0.068939
-0.013171,0.101639,0.068577
-0.013104,0.101105,0.068217
-0.013036,0.100575,0.067858
-0.012969,0.100047,0.067502
-0.012902,0.099522,0.067147
-0.012835,0.098999,0.066795
-0.012769,0.098480,0.066444
-0.012703,0.097963,0.066095
-0.012638,0.097448,0.065748
-0.012572,0.096937,0.065402
-0.012507,0.096428,0.065059
-0.012443,0.095922,0.064717
-0.012379,0.095418,0.064377
-0.012315,0.094917,0.064039
-0.012251,0.094419,0.063703
-0.012188,0.093923,0.063368
-0.012125,0.093430,0.063035
-0.012062,0.092940,0.062704
-0.012000,0.092452,0.062375
-0.011938,0.091967,0.062047
-0.011876,0.091484,0.061721
-0.011815,0.091004,0.061397
-0.011754,0.090526,0.061075
-0.011693,0.090051,0.060754
-0.011633,0.089578,0.060435
-0.011573,0.089108,0.060117
-0.011513,0.088640,0.059801
-0.011453,0.088175,0.059487
-0.011394,0.087712,0.059175
-0.011335,0.087252,0.058864
-0.011277,0.086794,0.058555
-0.011218,0.086338,0.058247
-0.011160,0.085885,0.057941
-0.011103,0.085434,0.057637
-0.011045,0.084986,0.057334
-0.010988,0.084539,0.057033
-0.010931,0.084096,0.056734
-0.010875,0.083654,0.056436
-0.010818,0.083215,0.056139
-0.010762,0.082778,0.055845
-0.010707,0.082344,0.055551
-0.010651,0.081911,0.055259
-0.010596,0.081481,0.054969
-0.010541,0.081054,0.054681
-0.010487,0.080628,0.054393
-0.010432,0.080205,0.054108
-0.010378,0.079784,0.053824
-0.010325,0.079365,0.053541
-0.010271,0.078949,0.053260
-0.010218,0.078534,0.052980
-0.010165,0.078122,0.052702
-0.010112,0.077712,0.052425
-0.010060,0.077304,0.052150
-0.010008,0.076898,0.051876
-0.009956,0.076494,0.051603
-0.009905,0.076093,0.051332
-0.009853,0.075693,0.051063
-0.009802,0.075296,0.050794
-0.009751,0.074901,0.050528
-0.009701,0.074508,0.050262
-0.009651,0.074117,0.049998
-0.009601,0.073728,0.049736
-0.009551,0.073341,0.049475
-0.009501,0.072956,0.049215
-0.009452,0.072573,0.048956
-0.009403,0.072192,0.048699
-0.009354,0.071813,0.048443
-0.009306,0.071436,0.048189
-0.009258,0.071061,0.047936
-0.009210,0.070688,0.047684
-0.009162,0.070317,0.047434
-0.009114,0.069948,0.047185
-0.009067,0.069580,0.046937
-0.009020,0.069215,0.046690
-0.008973,0.068852,0.046445
-0.008927,0.068490,0.046201
-0.008880,0.068131,0.045959
