accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.350100,-1.098074,-9.619893
1.345140,-1.102093,-9.626080
1.342728,-1.101019,-9.618152
1.343668,-1.112165,-9.620373
1.339762,-1.109865,-9.623357
1.351961,-1.094204,-9.621804
1.346641,-1.106148,-9.623859
1.360145,-1.102855,-9.614904
1.352738,-1.098286,-9.626049
1.364929,-1.098106,-9.614563
1.355896,-1.101624,-9.617054
1.363064,-1.111940,-9.618207
1.347165,-1.106861,-9.619723
1.353564,-1.097378,-9.625796
1.358328,-1.106580,-9.629207
1.361884,-1.106676,-9.615447
1.356291,-1.107787,-9.614458
1.348746,-1.113715,-9.616686
1.353110,-1.110533,-9.625235
1.372949,-1.110156,-9.617299
1.371432,-1.109275,-9.624920
1.363178,-1.098684,-9.628567
1.353061,-1.107718,-9.616702
1.370743,-1.111007,-9.614584
1.353046,-1.102807,-9.619481
1.362192,-1.115712,-9.623732
1.362081,-1.115772,-9.613754
1.357837,-1.108003,-9.615028
1.365650,-1.111326,-9.619566
1.353884,-1.113414,-9.625207
1.359414,-1.103678,-9.624041
1.365820,-1.111550,-9.621760
1.366552,-1.103404,-9.629054
1.356545,-1.110924,-9.622553
1.366056,-1.114537,-9.616077
1.354912,-1.115065,-9.627255
1.365569,-1.116853,-9.622662
1.367401,-1.116734,-9.614111
1.366468,-1.120145,-9.619069
1.366693,-1.107306,-9.623705
1.368140,-1.110276,-9.613584
1.370706,-1.123077,-9.616652
1.363459,-1.108139,-9.619911
1.357337,-1.111403,-9.613273
1.371135,-1.107301,-9.620265
1.360184,-1.114928,-9.614127
1.379523,-1.112507,-9.616761
1.360001,-1.113738,-9.613112
1.366035,-1.119640,-9.616341
1.372724,-1.115136,-9.617612
1.367837,-1.116117,-9.614730
1.367648,-1.115137,-9.619250
1.366979,-1.123378,-9.615344
1.378098,-1.111861,-9.623471
1.364530,-1.121042,-9.620165
1.362284,-1.117029,-9.619010
1.370252,-1.120116,-9.615589
1.359992,-1.124101,-9.623775
1.373436,-1.115029,-9.626246
1.375082,-1.114323,-9.620022
1.368942,-1.113303,-9.631732
1.374043,-1.118317,-9.625568
1.372811,-1.123345,-9.614416
1.371021,-1.121902,-9.619839
1.371641,-1.119117,-9.611315
1.372279,-1.107462,-9.614953
1.376162,-1.119478,-9.609634
1.383036,-1.119903,-9.605622
1.374512,-1.125291,-9.614025
1.373577,-1.115017,-9.617919
1.375566,-1.122406,-9.616881
1.368095,-1.127481,-9.616900
1.377009,-1.124105,-9.618164
1.375541,-1.121562,-9.617607
1.376502,-1.120097,-9.619690
1.380741,-1.117984,-9.619261
1.383466,-1.128679,-9.610478
1.377440,-1.127843,-9.607204
1.380189,-1.125010,-9.615422
1.377336,-1.120975,-9.603206
1.381235,-1.126377,-9.614467
1.379991,-1.121435,-9.621332
1.377985,-1.129999,-9.616035
1.379949,-1.129133,-9.612730
1.382811,-1.122539,-9.615739
1.376237,-1.121195,-9.617567
1.382504,-1.132367,-9.610010
1.381400,-1.122480,-9.616040
1.384632,-1.124329,-9.616448
1.384568,-1.130824,-9.609041
1.377219,-1.127026,-9.619905
1.377013,-1.127143,-9.620077
1.383303,-1.129666,-9.613322
1.386620,-1.126388,-9.611826
1.379533,-1.127445,-9.613356
1.384963,-1.123046,-9.616221
1.372332,-1.130005,-9.617464
1.374056,-1.127682,-9.616944
1.385860,-1.126803,-9.608000
1.389252,-1.123145,-9.612258
1.391894,-1.127919,-9.614297
1.380942,-1.131058,-9.610310
1.386808,-1.129473,-9.614668
1.389627,-1.132284,-9.616826
1.388436,-1.128215,-9.617702
1.383089,-1.134310,-9.613438
1.399126,-1.130658,-9.617856
1.383337,-1.130459,-9.612559
1.393960,-1.134823,-9.612987
1.384902,-1.128282,-9.613291
1.392499,-1.134567,-9.612599
1.388241,-1.133798,-9.609472
