mag_x (uT),mag_y (uT),mag_z (uT)
28.072001,-1.998810,-15.802346
28.048426,-2.008910,-15.798038
28.039223,-1.999907,-15.792426
28.064706,-2.011048,-15.804682
28.057259,-2.014802,-15.805279
28.056222,-2.001383,-15.800759
28.072406,-2.007797,-15.791904
28.053793,-2.013503,-15.801478
28.062431,-2.012077,-15.803013
28.059084,-2.001508,-15.810490
28.055414,-2.016416,-15.784376
28.051797,-2.018046,-15.787507
28.064335,-2.018042,-15.790917
28.062537,-2.013995,-15.804021
28.052088,-2.024371,-15.803312
28.046732,-2.010225,-15.803974
28.061782,-2.028367,-15.778223
28.071666,-2.028215,-15.814725
28.056346,-2.026365,-15.804493
28.068845,-2.016707,-15.807634
28.051405,-2.022664,-15.791123
28.047909,-2.006561,-15.797718
28.052430,-2.014607,-15.807926
28.054414,-2.016881,-15.778676
28.055836,-2.019276,-15.792024
28.056692,-2.043637,-15.806825
28.062487,-2.018738,-15.794734
28.047440,-2.021955,-15.798024
28.048358,-2.022385,-15.807104
28.055864,-2.015909,-15.787344
28.056155,-2.038766,-15.793648
28.050052,-2.037870,-15.814688
28.052191,-2.024980,-15.795254
28.064277,-2.043666,-15.797810
28.057813,-2.023324,-15.789739
28.048920,-2.032077,-15.799244
28.064346,-2.027643,-15.804176
28.050858,-2.043565,-15.779557
28.051540,-2.022108,-15.779774
28.058562,-2.033738,-15.796547
28.059235,-2.034114,-15.792971
28.075943,-2.032848,-15.785553
28.071740,-2.030623,-15.792375
28.072680,-2.015038,-15.802753
28.048433,-2.027836,-15.800945
28.064676,-2.033340,-15.778323
28.067955,-2.043873,-15.782200
28.056735,-2.045742,-15.773401
28.055726,-2.045731,-15.799941
28.080033,-2.037994,-15.791830
28.066097,-2.022909,-15.795569
28.056219,-2.024371,-15.793597
28.078843,-2.043279,-15.772341
28.058145,-2.027222,-15.783615
28.061210,-2.025346,-15.791175
28.062529,-2.054641,-15.787324
28.057949,-2.047844,-15.782115
28.071692,-2.039551,-15.792720
28.075154,-2.038210,-15.781271
28.046902,-2.029522,-15.781062
28.056553,-2.047112,-15.795055
28.066604,-2.033374,-15.802787
28.074732,-2.049078,-15.781604
28.066453,-2.046971,-15.796166
28.076038,-2.054372,-15.787539
28.057603,-2.045472,-15.788250
28.052502,-2.034483,-15.789532
28.063553,-2.034553,-15.780091
28.063191,-2.029749,-15.795283
28.058158,-2.030172,-15.763616
28.051051,-2.038236,-15.775967
28.054081,-2.046978,-15.781897
28.068808,-2.041012,-15.758294
28.064363,-2.042658,-15.781201
28.057169,-2.060330,-15.785609
28.059531,-2.050386,-15.780657
28.052745,-2.045939,-15.780609
28.089020,-2.039290,-15.782978
28.071180,-2.052831,-15.773104
28.065949,-2.059650,-15.772647
28.072788,-2.021983,-15.795572
28.050719,-2.048190,-15.772299
28.058114,-2.063701,-15.780741
28.067046,-2.056309,-15.794913
28.066745,-2.042758,-15.758805
28.050721,-2.065011,-15.790056
28.065677,-2.052989,-15.782179
28.049952,-2.051122,-15.770735
28.057624,-2.059905,-15.772766
28.066983,-2.046960,-15.764624
28.069848,-2.059220,-15.786846
28.040279,-2.050058,-15.754560
28.058691,-2.070247,-15.770314
28.060479,-2.082702,-15.772648
28.073798,-2.055029,-15.768219
28.065754,-2.059182,-15.764879
28.068134,-2.057936,-15.789797
28.054812,-2.039669,-15.767372
28.074168,-2.050993,-15.790022
28.064557,-2.055666,-15.778478
28.050379,-2.079022,-15.776112
28.071727,-2.059885,-15.776360
28.074892,-2.056752,-15.770242
28.070190,-2.075410,-15.787449
28.060701,-2.060583,-15.768461
28.057657,-2.071926,-15.768938
28.053041,-2.041544,-15.764113
28.061751,-2.052001,-15.786322
28.067823,-2.065963,-15.776322
28.070920,-2.060983,-15.783596
28.081300,-2.060127,-15.767110
28.056290,-2.082915,-15.791622
28.069235,-2.069584,-15.766658
28.060849,-2.085711,-15.770749
28.059512,-2.052794,-15.772383
28.065824,-2.053524,-15.758048
28.066500,-2.069955,-15.770419
28.072463,-2.070601,-15.756002
28.067265,-2.064748,-15.771722
28.068601,-2.050601,-15.768453
28.067275,-2.054093,-15.772787
28.057781,-2.059892,-15.771507
28.047107,-2.061694,-15.782169
28.062186,-2.072252,-15.764402
28.075826,-2.067912,-15.781074
28.046948,-2.056722,-15.768619
28.061537,-2.065119,-15.777248
28.056806,-2.065812,-15.757159
28.048127,-2.051031,-15.768909
28.074228,-2.060356,-15.769537
28.047384,-2.062821,-15.775160
28.077426,-2.059359,-15.778611
28.070778,-2.053992,-15.781861
28.074995,-2.061202,-15.782747
28.044182,-2.086093,-15.764139
28.050732,-2.068112,-15.775139
28.080790,-2.074122,-15.746308
28.095300,-2.086797,-15.768445
28.077861,-2.066129,-15.759142
28.065077,-2.080738,-15.770075
28.070145,-2.076620,-15.766243
28.059740,-2.066335,-15.756808
28.074369,-2.069188,-15.771489
28.079110,-2.073138,-15.768082
28.080753,-2.067750,-15.769002
28.074921,-2.085772,-15.785687
28.055605,-2.061209,-15.761623
28.058420,-2.076109,-15.760936
28.064927,-2.086516,-15.773173
28.082866,-2.086322,-15.771117
28.058122,-2.083594,-15.774468
28.074202,-2.073703,-15.778476
28.064429,-2.079701,-15.771718
28.065871,-2.059104,-15.782039
28.087965,-2.081254,-15.784194
28.059658,-2.080639,-15.762596
28.063796,-2.070499,-15.780302
28.070522,-2.065360,-15.783496
28.090513,-2.077224,-15.773692
28.068777,-2.091569,-15.755798
28.077071,-2.077253,-15.758794
28.061392,-2.086477,-15.764369
28.063936,-2.068393,-15.772361
28.079887,-2.094273,-15.757885
28.068832,-2.082933,-15.777285
28.075306,-2.075925,-15.774775
28.086794,-2.062446,-15.774399
28.063480,-2.086752,-15.747714
28.080635,-2.086376,-15.761552
28.066383,-2.078767,-15.755927
28.082713,-2.075987,-15.746725
28.061958,-2.074594,-15.760583
28.067811,-2.070835,-15.756556
28.090134,-2.091406,-15.774998
28.071797,-2.076646,-15.763994
28.068220,-2.087541,-15.752437
28.068762,-2.088021,-15.744475
28.062516,-2.076460,-15.789193
28.071924,-2.078736,-15.764919
28.084659,-2.075866,-15.759217
28.081946,-2.072480,-15.774614
28.077280,-2.086624,-15.767919
28.091234,-2.078388,-15.762559
28.049526,-2.103070,-15.761826
28.069814,-2.085702,-15.760851
28.081121,-2.091041,-15.765208
28.074382,-2.088645,-15.770033
28.073347,-2.071131,-15.763677
28.081038,-2.078380,-15.767918
28.070406,-2.089166,-15.764104
28.058722,-2.076183,-15.771646
28.044661,-2.070746,-15.749375
28.082037,-2.079929,-15.774022
28.075868,-2.082869,-15.758561
28.045690,-2.092512,-15.765251
28.082752,-2.089390,-15.779348
28.084573,-2.091550,-15.776622
28.066572,-2.098808,-15.767832
28.077042,-2.088740,-15.754715
28.076299,-2.084168,-15.756266
28.062922,-2.100501,-15.781731
28.078123,-2.081723,-15.766639
28.067476,-2.076355,-15.753258
28.053205,-2.086863,-15.755596
28.059658,-2.111454,-15.768873
28.080671,-2.077325,-15.769626
28.075698,-2.095844,-15.759163
28.075993,-2.093279,-15.775299
28.092773,-2.098212,-15.759944
28.069989,-2.084900,-15.750306
28.075990,-2.081188,-15.747007
28.071273,-2.090141,-15.743653
28.064929,-2.091521,-15.757735
28.074059,-2.112658,-15.778050
