mag_x (uT),mag_y (uT),mag_z (uT)
28.064669,-4.982071,-15.117624
28.052267,-4.970871,-15.116764
28.051127,-4.975652,-15.105673
28.073525,-4.989488,-15.103646
28.079007,-4.976918,-15.111285
28.045164,-4.992453,-15.102195
28.061545,-4.985948,-15.116559
28.051442,-4.995500,-15.099645
28.039382,-5.011528,-15.126139
28.043930,-4.988712,-15.118694
28.064240,-5.006536,-15.127243
28.070547,-4.999742,-15.099296
28.073081,-5.015409,-15.122082
28.086402,-4.989391,-15.105555
28.060076,-5.001445,-15.121169
28.061350,-4.992763,-15.117517
28.065997,-4.981146,-15.090153
28.047737,-4.983648,-15.087413
28.076304,-4.998103,-15.113520
28.061781,-5.015096,-15.115093
28.077647,-4.991091,-15.102673
28.073430,-4.994900,-15.109237
28.068202,-4.996197,-15.123174
28.076679,-4.997220,-15.094613
28.062682,-4.993707,-15.108753
28.063129,-4.995449,-15.115166
28.057303,-4.993870,-15.117399
28.070924,-4.999419,-15.106593
28.070364,-5.003876,-15.095512
28.060247,-5.001540,-15.113367
28.061560,-5.006520,-15.114056
28.059829,-5.010842,-15.115091
28.072740,-5.006270,-15.097678
28.052154,-5.013801,-15.087744
28.061970,-5.011289,-15.108925
28.073907,-5.014576,-15.122394
28.069332,-5.018159,-15.097468
28.060438,-5.013972,-15.100705
28.082018,-5.006666,-15.110625
28.070226,-4.986407,-15.110652
28.071976,-5.002859,-15.110118
28.076178,-5.013184,-15.101794
28.075515,-5.014569,-15.090574
28.072923,-5.010473,-15.110282
28.068024,-5.022733,-15.094416
28.049536,-5.019591,-15.116592
28.054598,-4.999617,-15.106231
28.066966,-5.012540,-15.084164
28.072383,-5.021924,-15.105309
28.059532,-5.007300,-15.100053
28.074932,-5.027652,-15.090533
28.066783,-5.008555,-15.093930
28.064700,-5.013995,-15.096854
28.063186,-5.028936,-15.105011
28.060451,-5.026799,-15.097342
28.077573,-5.017621,-15.095549
28.054824,-5.011079,-15.112874
